#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              20.3886              20.3886                    0
           2              20.6001              20.4944            0.0747686
           3              20.8024               20.597            0.0975313
           4              20.3981              20.5473            0.0848843
           5              20.3702              20.5119            0.0749373
           6              20.4854              20.5075            0.0625776
           7              20.3727              20.4882            0.0565243
           8              20.4683              20.4857            0.0495137
           9              20.6828              20.5076            0.0486115
          10              20.4131              20.4982            0.0446598
          11               20.711              20.5175            0.0445958
          12              20.3153              20.5007            0.0439476
          13              20.5856              20.5072            0.0410493
          14              20.8579              20.5322            0.0451169
          15              20.8367              20.5525            0.0464507
          16              20.9335              20.5764            0.0492742
          17              20.6768              20.5823            0.0467285
          18              20.4151               20.573            0.0450453
          19              20.8313              20.5866            0.0446797
          20              20.4102              20.5778            0.0433071
          21              20.4448              20.5714            0.0417049
          22               20.358              20.5617            0.0409225
          23              20.4414              20.5565             0.039476
          24              20.7694              20.5654            0.0388155
          25              20.4357              20.5602            0.0376076
          26              20.3139              20.5507            0.0373353
          27              20.5594               20.551            0.0359539
          28              20.7165              20.5569            0.0351524
          29              20.6528              20.5602            0.0340953
          30              20.5482              20.5598            0.0329612
