#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
          77 1.146206512962428592e+00 1.151874139421309895e+00 2.440584359182963303e-03
          78 1.146321158755937875e+00 1.151802947361497464e+00 2.410332931779342758e-03
          79 1.151793700041240154e+00 1.151802830306810632e+00 2.379822391181722618e-03
          80 1.126527669004332211e+00 1.151486890790529571e+00 2.370953549600690342e-03
          81 1.211507374758102662e+00 1.152227884419758874e+00 2.454744368163792444e-03
          82 1.165968124550392337e+00 1.152395448323790816e+00 2.430520792978970064e-03
          83 1.168635687787616506e+00 1.152591113859499528e+00 2.409100420413034203e-03
          84 1.175102060461706843e+00 1.152859101319049673e+00 2.395279691079656766e-03
          85 1.127526770408386225e+00 1.152561073896571253e+00 2.385568585885261116e-03
          86 1.196126163953415533e+00 1.153067644711185613e+00 2.411014239464342838e-03
          87 1.138974854355359723e+00 1.152905658615141604e+00 2.388736822724237506e-03
          88 1.143384716015772407e+00 1.152797466085603295e+00 2.364040986561070229e-03
          89 1.138403599937968691e+00 1.152635737252484027e+00 2.343004295894376803e-03
          90 1.139348267689858085e+00 1.152488098701788033e+00 2.321617791833008228e-03
          91 1.133179223176511430e+00 1.152275913256455286e+00 2.305781519226531798e-03
          92 1.142674539226521624e+00 1.152171550495260322e+00 2.283079254216508012e-03
          93 1.169628275842308440e+00 1.152359257219422339e+00 2.266233170789095416e-03
          94 1.171553694309011906e+00 1.152563453358673273e+00 2.251304932121510598e-03
          95 1.155113077322588833e+00 1.152590291505661613e+00 2.227766950532048418e-03
          96 1.173712786725053414e+00 1.152810317497530379e+00 2.215399862673071273e-03
          97 1.142017143868191420e+00 1.152699047666299936e+00 2.195353208627631378e-03
          98 1.140435398683156132e+00 1.152573908390961632e+00 2.176515310460259891e-03
          99 1.156072059552870401e+00 1.152609243251182969e+00 2.154817111933932019e-03
         100 1.188446608967612894e+00 1.152967616908347370e+00 2.162864705710564224e-03
