#   N_BLOCK:  ACCEPTANCE:
           1      0.08926
           2    0.0897098
           3    0.0899931
           4    0.0911509
           5    0.0908473
           6    0.0905483
           7    0.0907085
           8    0.0903554
           9    0.0900284
          10    0.0901546
          11    0.0902162
          12    0.0898471
          13    0.0901836
          14    0.0908011
          15     0.090578
          16    0.0904669
          17     0.090671
          18    0.0905006
          19    0.0901741
          20    0.0901278
          21    0.0901026
          22    0.0901233
          23    0.0903703
          24    0.0904241
          25    0.0901015
          26    0.0900849
          27    0.0899546
          28    0.0899398
          29    0.0899608
          30    0.0898993
          31    0.0900025
          32    0.0900916
          33    0.0899964
          34    0.0900048
          35    0.0899997
          36    0.0900837
          37    0.0900809
          38     0.089923
          39     0.089924
          40    0.0900005
