#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              10.1176              10.1176                    0
           2               9.0125              9.56505             0.390712
           3              12.6003              10.5768             0.866183
           4                9.042              10.1931              0.72969
           5              10.9571              10.3459             0.599537
           6               9.8328              10.2604             0.505676
           7              10.4331              10.2851             0.434038
           8              10.6589              10.3318             0.382291
           9              10.9159              10.3967             0.345279
          10              10.8934              10.4464             0.314304
          11               9.1142              10.3253             0.308181
          12               8.9537               10.211             0.302953
          13               9.7342              10.1743              0.28186
          14               8.6802              10.0676             0.281206
          15              10.0192              10.0643             0.262478
          16              10.6315              10.0998             0.248455
          17               9.3629              10.0564             0.237591
          18              12.1402              10.1722             0.251015
          19              12.3387              10.2862             0.262427
          20              12.9538              10.4196             0.281165
          21               8.3349              10.3203             0.284763
          22              11.9426              10.3941             0.281204
          23               9.6121              10.3601             0.271025
          24              12.7334               10.459             0.277187
          25              12.1805              10.5278              0.27452
          26                9.085              10.4723             0.269512
          27              10.4261              10.4706             0.259535
          28              10.4939              10.4715             0.250268
          29               9.3733              10.4336             0.244486
          30               8.5495              10.3708             0.244269
          31              11.1915              10.3973              0.23782
          32               9.0269              10.3544             0.234212
          33               9.1113              10.3168             0.230124
          34              10.6803              10.3275             0.223604
          35              13.9917              10.4321             0.240479
          36               9.9618              10.4191             0.234153
          37               9.0694              10.3826             0.230649
          38              11.2629              10.4058             0.225739
          39              10.2945              10.4029             0.219969
          40              10.7096              10.4106             0.214603
