#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1               8.1738               8.1738                    0
           2               8.3678               8.2708            0.0685894
           3               7.0874              7.87633              0.32531
           4               7.3639              7.74823             0.268023
           5               7.0861               7.6158             0.244958
           6               8.6882              7.79453             0.261326
           7               6.8419              7.65844             0.256998
           8               7.2614              7.60881             0.229615
           9               7.9479              7.64649              0.20717
          10               7.7582              7.65766             0.186754
          11               7.6178              7.65404             0.169812
          12               6.8364               7.5859             0.168778
          13               7.6553              7.59124             0.155879
          14               9.2491              7.70966             0.184316
          15               9.2258              7.81073             0.197811
          16               8.4254              7.84915             0.189141
          17               8.6701              7.89744             0.184077
          18               8.3173              7.92077             0.175322
          19                7.833              7.91615             0.166155
          20               8.5448              7.94758             0.160793
          21               7.9486              7.94763             0.153137
          22               7.5552              7.92979             0.147211
          23               6.1863              7.85399             0.159135
          24               7.3905              7.83467             0.153672
          25               8.0832              7.84462             0.147846
          26               9.7174              7.91665             0.158739
          27               7.9835              7.91912             0.152879
          28               8.0958              7.92543              0.14755
          29               7.4305              7.90837             0.143445
          30               8.0234               7.9122             0.138715
          31                7.259              7.89113             0.135831
          32               8.9705              7.92486              0.13571
          33               7.2687              7.90498             0.133046
          34               8.4345              7.92055             0.130042
          35               7.3752              7.90497             0.127256
          36                7.809               7.9023             0.123749
          37               9.2676               7.9392             0.125786
          38               7.0309               7.9153             0.124726
          39               8.1185              7.92051             0.121637
          40               6.6822              7.88955             0.122472
