#   N_BLOCK:  ACCEPTANCE:
           1     0.226784
           2     0.227062
           3      0.22644
           4     0.226586
           5     0.226999
           6     0.226686
           7     0.226911
           8     0.227228
           9     0.227354
          10     0.227177
          11     0.227328
          12     0.227152
          13     0.227091
          14     0.227343
          15      0.22723
          16     0.227204
          17     0.227218
          18     0.227335
          19     0.227346
          20     0.227388
          21     0.227341
          22     0.227357
          23     0.227399
          24     0.227383
          25     0.227213
          26     0.227187
          27     0.227202
          28     0.227151
          29     0.227234
          30     0.227211
          31     0.227191
          32     0.227058
          33     0.227087
          34     0.227124
          35     0.227175
          36     0.227201
          37     0.227203
          38     0.227175
          39     0.227178
          40       0.2272
