#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              402.223              402.223                    0
           2              409.129              405.676              2.44162
           3              427.677               413.01              6.20523
           4              410.587              412.404              4.68339
           5               365.41              403.005              9.20378
           6              395.142              401.695              7.76256
           7              396.768              400.991              6.68546
           8              396.701              400.455              5.87124
           9              407.083              401.191              5.26487
          10              433.269              404.399              5.63144
          11              401.498              404.135              5.12567
          12              401.468              403.913              4.70335
          13              391.387              402.949              4.43914
          14              394.423               402.34              4.16363
          15              408.655              402.761              3.90728
          16              379.599              401.314               3.9221
          17              402.388              401.377              3.69189
          18              399.338              401.264              3.48853
          19              402.178              401.312              3.30525
          20              391.359              400.814              3.17723
          21              401.667              400.855               3.0262
          22               378.55              399.841              3.05376
          23              405.384              400.082              2.93048
          24              404.718              400.275              2.81474
          25              399.356              400.238              2.70239
          26              414.401              400.783              2.65279
          27               389.29              400.357              2.58846
          28              428.418              401.359              2.68302
          29              392.852              401.066              2.60649
          30              400.602              401.051              2.51965
          31              407.571              401.261              2.44714
          32              421.142              401.882              2.44826
          33              407.484              402.052              2.37995
          34              389.597              401.686              2.33798
          35              377.786              401.003               2.3688
          36              400.699              400.994              2.30301
          37              388.123              400.647              2.26689
          38              393.969              400.471              2.21404
          39               395.81              400.351              2.16049
          40              404.672              400.459              2.10918
