#   N_BLOCK:  ACCEPTANCE:
           1     0.399613
           2     0.401105
           3     0.400967
           4     0.400855
           5     0.401111
           6     0.401372
           7     0.401257
           8     0.401373
           9     0.401501
          10     0.401423
          11     0.401572
          12     0.401652
          13     0.401643
          14     0.401654
          15     0.401678
          16     0.401704
          17     0.401781
          18      0.40174
          19     0.401757
          20     0.401758
          21     0.401705
          22     0.401678
          23     0.401663
          24     0.401611
          25     0.401543
          26      0.40154
          27     0.401629
          28     0.401583
          29     0.401579
          30      0.40159
          31     0.401606
          32     0.401602
          33     0.401616
          34     0.401562
          35     0.401538
          36     0.401505
          37     0.401492
          38     0.401486
          39     0.401452
          40     0.401465
