#   N_BLOCK:  ACCEPTANCE:
           1     0.154811
           2     0.154629
           3     0.154724
           4     0.154801
           5      0.15479
           6     0.154755
           7     0.154966
           8     0.154912
           9     0.154951
          10     0.154976
          11     0.154926
          12     0.154999
          13        0.155
          14     0.154913
          15     0.154774
          16     0.154785
          17      0.15481
          18     0.154746
          19     0.154879
          20     0.154869
          21     0.154813
          22     0.154761
          23     0.154806
          24     0.154804
          25     0.154866
          26     0.154874
          27     0.154886
          28     0.154914
          29     0.154949
          30     0.154936
