#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              733.451              733.451                    0
           2              745.611              739.531              4.29911
           3              745.432              741.498              3.28541
           4              727.336              737.958              3.93368
           5              738.996              738.165              3.15242
           6              732.335              737.194              2.77273
           7              720.987              734.878              3.20045
           8              745.757              736.238              3.07575
           9              738.062              736.441              2.74067
          10              736.418              736.439               2.4666
          11              730.237              735.875               2.3059
          12              717.623              734.354              2.56679
          13              746.098              735.257              2.52332
          14              765.912              737.447              3.15311
          15              772.993              739.817              3.72854
          16              730.552              739.238              3.54018
          17              747.913              739.748              3.36852
          18              762.493              741.012              3.41015
          19              703.886              739.058              3.74891
          20              735.392              738.874              3.56594
          21              750.822              739.443              3.44122
          22               749.77              739.913              3.31666
          23              729.733               739.47              3.20185
          24               730.33              739.089                3.091
          25              724.846              738.519              3.01941
          26              721.999              737.884              2.96938
          27              743.309              738.085               2.8662
          28              740.963              738.188              2.76567
          29              738.188              738.188              2.67031
          30              738.503              738.198              2.58132
