#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              70.2948              70.2948                    0
           2              71.0921              70.6934             0.281871
           3              71.0117              70.7995             0.206917
           4              69.6946              70.5233             0.285156
           5              70.8483              70.5883              0.23542
           6              70.3875              70.5548             0.198547
           7              71.1285              70.6368             0.186333
           8              71.0881              70.6932             0.171369
           9               71.309              70.7616             0.165425
          10              70.2179              70.7073             0.157565
          11              70.8907              70.7239             0.144121
          12               70.367              70.6942             0.135147
          13              70.7437               70.698             0.124805
          14              70.5865                70.69             0.116144
          15              71.0894              70.7167              0.11141
          16              70.0562              70.6754             0.111833
          17              71.3087              70.7126             0.111288
          18              71.4509              70.7536             0.112409
          19              71.7624              70.8067             0.118368
          20              70.1493              70.7739             0.116925
          21              69.8634              70.7305             0.119124
          22              70.6651              70.7275             0.113747
          23              69.8013              70.6873             0.115711
          24              70.8179              70.6927             0.111017
          25              71.2479              70.7149             0.108775
          26              70.3044              70.6991             0.105731
          27              70.7929              70.7026             0.101872
          28              69.9596              70.6761             0.101631
          29              69.8476              70.6475             0.102063
          30              70.7898              70.6522            0.0987709
