#   N_BLOCK:  ACCEPTANCE:
           1     0.530242
           2     0.530114
           3     0.530174
           4     0.530243
           5     0.530208
           6     0.530118
           7      0.53006
           8     0.530099
           9      0.53008
          10     0.530108
          11      0.53007
          12     0.530081
          13     0.530075
          14     0.530062
          15     0.530067
          16     0.530038
          17     0.530012
          18      0.53004
          19     0.530079
          20     0.530097
          21     0.530134
          22     0.530116
          23     0.530109
          24     0.530102
          25     0.530084
          26     0.530114
          27     0.530106
          28     0.530111
          29     0.530105
          30     0.530117
