#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              1.31194              1.31194                    0
           2              1.47118              1.39156            0.0562998
           3              1.47866              1.42059            0.0443926
           4              1.31084              1.39315            0.0409043
           5              1.42568              1.39966            0.0332367
           6              1.46958              1.41131            0.0296699
           7              1.45976              1.41823            0.0262261
           8              1.44768              1.42191            0.0232047
           9               1.4176              1.42144            0.0206314
          10               1.4278              1.42207            0.0185781
          11              1.50758              1.42985            0.0184439
          12              1.46438              1.43272            0.0171299
          13              1.52664              1.43995            0.0172686
          14              1.50492              1.44459             0.016647
          15              1.31178              1.43573            0.0177362
          16              1.38704              1.43269            0.0168867
          17              1.35316              1.42801            0.0165287
          18               1.4674               1.4302            0.0157547
          19              1.34152              1.42553            0.0156015
          20              1.41542              1.42503            0.0148297
          21               1.4474              1.42609            0.0141617
          22              1.40232              1.42501            0.0135591
          23              1.38424              1.42324             0.013085
          24              1.33058              1.41938             0.013097
          25              1.27702              1.41368            0.0137554
          26              1.38216              1.41247            0.0132797
          27               1.3159               1.4089            0.0132608
          28              1.48422              1.41159            0.0130572
          29              1.38752              1.41076            0.0126333
          30              1.27914              1.40637            0.0129516
