#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1            -0.469847            -0.469847                    0
           2            -0.470147            -0.469997          0.000106066
           3            -0.470144            -0.470046          8.12177e-05
           4            -0.469145            -0.469821           0.00020443
           5            -0.470146            -0.469886          0.000173559
           6            -0.470115            -0.469924          0.000148785
           7            -0.470093            -0.469948           0.00012947
           8            -0.469404             -0.46988          0.000129928
           9            -0.470016            -0.469895          0.000116366
          10            -0.469286            -0.469834          0.000119636
          11            -0.469481            -0.469802          0.000112992
          12            -0.470191            -0.469835          0.000108129
          13            -0.469956            -0.469844          0.000100214
          14             -0.47017            -0.469867          9.57313e-05
          15            -0.470193            -0.469889          9.17771e-05
          16            -0.469634            -0.469873          8.74087e-05
          17            -0.469808            -0.469869          8.23506e-05
          18            -0.469737            -0.469862          7.81032e-05
          19            -0.469852            -0.469861          7.39942e-05
          20            -0.469965            -0.469866          7.04752e-05
          21             -0.46911             -0.46983           7.5777e-05
          22            -0.470346            -0.469854          7.58752e-05
          23            -0.470056            -0.469863          7.30833e-05
          24            -0.469722            -0.469857          7.02742e-05
          25            -0.470134            -0.469868          6.83299e-05
          26            -0.468498            -0.469815          8.35911e-05
          27            -0.470319            -0.469834          8.25533e-05
          28            -0.469668            -0.469828          7.98172e-05
          29            -0.469903            -0.469831          7.71071e-05
          30             -0.46916            -0.469808          7.77086e-05
