#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              19.3629              19.3629                    0
           2              19.6728              19.5179             0.109566
           3              19.4632              19.4996            0.0745419
           4              19.5647              19.5159             0.057652
           5               19.547              19.5221            0.0464568
           6              19.6497              19.5434            0.0433084
           7              19.7188              19.5684            0.0437731
           8              19.5741              19.5692            0.0383072
           9              19.6368              19.5767              0.03478
          10              19.7675              19.5958            0.0361619
          11              19.6426                 19.6            0.0331238
          12              19.6935              19.6078            0.0312668
          13              19.6411              19.6104            0.0289666
          14              19.6895               19.616             0.027444
          15              19.7654               19.626            0.0273604
          16              19.7405              19.6331            0.0265704
          17               19.841              19.6454            0.0276788
          18              19.6036              19.6431            0.0262379
          19              19.8936              19.6562            0.0279754
          20              19.6593              19.6564             0.026577
          21              19.5931              19.6534            0.0254816
          22              19.7696              19.6587            0.0248644
          23              19.5911              19.6557            0.0239561
          24              19.9753               19.669            0.0264007
          25              19.6051              19.6665            0.0254685
          26              19.4917              19.6598             0.025361
          27              19.3622              19.6487            0.0267093
          28              19.6674              19.6494            0.0257637
          29              19.8545              19.6565            0.0258278
          30              19.6189              19.6552            0.0249972
