#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              262.857              262.857                    0
           2              269.938              266.397              2.50365
           3              262.766              265.187              1.93971
           4              267.779              265.835              1.55924
           5              271.603              266.988               1.6188
           6              269.892              267.472              1.41949
           7              275.384              268.603              1.60474
           8              269.348              268.696              1.40685
           9              272.842              269.156              1.32383
          10              264.198              268.661              1.28094
          11              265.149              268.341              1.20362
          12              269.852              268.467              1.10988
          13              271.836              268.726              1.05432
          14              277.307              269.339              1.14336
          15              268.986              269.316              1.06738
          16               267.77              269.219              1.00503
          17              262.953               268.85              1.01125
          18              274.418               269.16              1.00126
          19              275.003              269.467             0.994667
          20              268.364              269.412             0.946462
          21               273.74              269.618             0.923553
          22              267.045              269.501              0.88895
          23              266.307              269.362             0.861082
          24              270.832              269.424             0.827378
          25              275.595               269.67             0.830289
          26              270.989              269.721             0.799903
          27              268.881               269.69             0.770882
          28              276.179              269.922             0.777408
          29              267.565              269.841             0.754835
          30              270.322              269.857             0.729845
