#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              5.61652              5.61652                    0
           2              4.80518              5.21085             0.286852
           3              5.38242              5.26804             0.196853
           4              5.22014              5.25607             0.148004
           5              4.97212              5.19928             0.128838
           6              5.37432              5.22845             0.110619
           7              5.66218              5.29041             0.110819
           8              5.08922              5.26526            0.0997795
           9              5.04266              5.24053            0.0917071
          10              4.64538              5.18101                  0.1
          11              4.92284              5.15754            0.0936232
          12              5.46414              5.18309            0.0892395
          13               5.4921              5.20686            0.0854819
          14              5.60308              5.23516            0.0839304
          15              4.67046              5.19752            0.0863666
          16              5.41066              5.21084            0.0819896
          17              5.79592              5.24526            0.0840804
          18              5.21998              5.24385             0.079421
          19              5.50218              5.25745            0.0763959
          20              5.28518              5.25883            0.0725887
          21              4.98708              5.24589            0.0702761
          22              5.35052              5.25065            0.0672425
          23              5.47442              5.26038            0.0650189
          24              5.88148              5.28626            0.0672632
          25              5.70876              5.30316             0.066662
          26              5.49682              5.31061            0.0645128
          27              4.87218              5.29437            0.0641345
          28               5.9224               5.3168            0.0656491
          29               4.5372              5.28992            0.0686692
          30               4.9218              5.27764            0.0674676
