#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              16.5216              16.5216                    0
           2              17.7907              17.1562             0.448695
           3              18.7679              17.6934             0.530946
           4              19.4758               18.139             0.554518
           5              18.4006              18.1913             0.446076
           6              17.3704              18.0545             0.392152
           7              22.1311              18.6369             0.635365
           8              20.6994              18.8947             0.605999
           9              19.5957              18.9726             0.543648
          10              17.1564               18.791             0.518734
          11              16.9596              18.6245             0.497577
          12              18.0124              18.5735             0.458719
          13              18.0736               18.535             0.425041
          14              17.1888              18.4389             0.405412
          15              18.1482              18.4195             0.378848
          16              22.0911               18.649             0.418943
          17              20.6259              18.7652             0.410122
          18              20.1542              18.8424              0.39453
          19              19.1111              18.8566             0.374019
          20              22.0721              19.0173              0.38834
          21              18.4002              18.9879             0.370957
          22              18.8878              18.9834             0.354124
          23              20.8524              19.0647             0.347926
          24              24.7656              19.3022             0.406508
          25              20.3104              19.3425             0.392243
          26              14.3615              19.1509             0.421352
          27              18.4538              19.1251             0.406537
          28              23.2514              19.2725             0.417875
          29              17.9144              19.2257             0.406081
          30              15.3907              19.0978             0.412174
          31              17.2555              19.0384              0.40314
          32              18.5926              19.0245             0.390783
          33              19.3538              19.0344             0.379068
          34              18.1298              19.0078             0.368852
          35              24.7155              19.1709             0.392711
          36              21.6269              19.2391             0.387683
          37              15.4112              19.1357             0.390766
          38              16.8682               19.076             0.385012
          39               18.975              19.0734             0.375148
          40              22.6762              19.1635             0.376427
