#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              23.0134              23.0134                    0
           2              22.2422              22.6278             0.272659
           3              21.8426              22.3661             0.280569
           4              23.0894              22.5469             0.262304
           5              22.5194              22.5414             0.209901
           6              20.0314              22.1231             0.420047
           7              21.4442              22.0261             0.371067
           8              20.9903              21.8966             0.346537
           9              23.1865              22.0399             0.336366
          10              20.2445              21.8604             0.347356
          11              21.6337              21.8398             0.316388
          12              20.5076              21.7288             0.308887
          13              21.8923              21.7413             0.285383
          14              20.6687              21.6647             0.275091
          15              21.7558              21.6708             0.256819
          16              23.2421               21.769             0.258865
          17              21.6028              21.7592             0.243822
          18              20.8247              21.7073             0.235739
          19              20.7092              21.6548              0.22911
          20              21.4147              21.6428             0.217969
          21              22.4531              21.6814             0.210977
          22              22.2327              21.7064              0.20287
          23              21.8929              21.7145             0.194212
          24              20.9616              21.6832             0.188637
          25              22.1202              21.7006             0.181899
          26              20.5086              21.6548             0.180589
          27              22.9026               21.701             0.179717
          28              20.9777              21.6752             0.175145
          29              22.5248              21.7045             0.171538
          30              20.7228              21.6718             0.168912
          31              19.8653              21.6135             0.173224
          32              21.9466              21.6239             0.168123
          33              21.7167              21.6267             0.163052
          34              22.8061              21.6614             0.161904
          35              22.7665               21.693             0.160327
          36              20.2071              21.6517             0.161099
          37              21.2773              21.6416             0.157062
          38              21.0913              21.6271             0.153595
          39              20.8285              21.6066             0.151016
          40              20.9005               21.589             0.148269
