#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1            -0.859581            -0.859581                    0
           2            -0.863086            -0.861333           0.00123913
           3            -0.861906            -0.861524           0.00084065
           4            -0.860823            -0.861349          0.000648488
           5            -0.860847            -0.861248          0.000526493
           6            -0.861794            -0.861339          0.000446537
           7             -0.86053            -0.861224          0.000397451
           8            -0.862618            -0.861398          0.000384064
           9            -0.861203            -0.861376          0.000341999
          10             -0.86438            -0.861677          0.000419449
          11            -0.863506            -0.861843          0.000412983
          12            -0.862059            -0.861861           0.00037896
          13            -0.862518            -0.861912          0.000353167
          14            -0.862484            -0.861953          0.000330298
          15             -0.86191             -0.86195           0.00030829
          16            -0.864864            -0.862132           0.00033858
          17            -0.862729            -0.862167          0.000320479
          18            -0.862674            -0.862195          0.000303908
          19            -0.860374            -0.862099          0.000302657
          20            -0.862574            -0.862123          0.000288452
          21            -0.860424            -0.862042          0.000285837
          22             -0.86295            -0.862083          0.000275805
          23            -0.862074            -0.862083          0.000263813
          24            -0.862911            -0.862117          0.000255069
          25            -0.861324            -0.862086          0.000246832
          26            -0.863783            -0.862151          0.000245822
          27            -0.862803            -0.862175          0.000237901
          28            -0.862386            -0.862183          0.000229524
          29            -0.863379            -0.862224          0.000225287
          30             -0.86305            -0.862251          0.000219452
