#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              17.3509              17.3509                    0
           2              15.0394              16.1951             0.817246
           3              17.2228              16.5377             0.612426
           4               18.977              17.1475             0.699923
           5              16.2949               16.977             0.580336
           6              16.8784              16.9606             0.483846
           7              16.2469              16.8586              0.42533
           8              16.6053              16.8269             0.373341
           9              16.5496              16.7961             0.333128
          10              16.6011              16.7766             0.300386
          11              15.4593              16.6569             0.295989
          12              15.0034              16.5191             0.301696
          13              16.7751              16.5388             0.279131
          14              15.2065              16.4436             0.274937
          15              14.9978              16.3472             0.272981
          16              17.2002              16.4005             0.261073
          17              17.0249              16.4372             0.248286
          18              16.8518              16.4603             0.235558
          19               18.047              16.5438             0.237503
          20              16.3224              16.5327             0.225885
          21              17.5675               16.582             0.220438
          22              17.0667               16.604             0.211516
          23              15.5996              16.5604             0.206778
          24              16.6422              16.5638             0.198191
          25              17.8795              16.6164             0.197127
          26              17.0351              16.6325             0.190202
          27              18.1104              16.6872             0.190871
          28              16.9206              16.6956             0.184236
          29              17.1933              16.7127             0.178681
          30              15.6509              16.6773             0.176195
