     MU:      SIGMA:     E_MEASURED:    ERROR:
    -0.71236     0.65959    -0.41325   0.0031413
    -0.61125     0.95815    -0.21516    0.012115
    -0.44119     0.99844    -0.22059    0.011268
    -0.50821     0.80018     -0.2684   0.0049531
    -0.28317     0.68597   -0.022462   0.0066266
    -0.15511     0.91559    -0.22647   0.0050482
   -0.050602     0.88929    -0.20708   0.0051765
     0.20018     0.97036    -0.26133   0.0064799
     0.20018     0.97036    -0.26133   0.0064799
     0.29985     0.75403    -0.12966   0.0055425
    0.025501      1.0335    -0.24863   0.0083287
     0.11086      1.2198   -0.074674    0.019372
    -0.02958      1.0708    -0.24033    0.011004
     0.02667     0.83145    -0.14973   0.0049429
     0.02667     0.83145    -0.14973   0.0049429
     0.02667     0.83145    -0.14973   0.0049429
    0.077453      1.0719    -0.23194    0.011496
     0.34698      1.0302    -0.21378     0.01113
     0.34698      1.0302    -0.21378     0.01113
     0.34698      1.0302    -0.21378     0.01113
     0.21491      1.0772    -0.22349    0.010906
     0.48496      1.0834    -0.10226    0.019766
     0.38487      1.1983     0.10522    0.031738
     0.38487      1.1983     0.10522    0.031738
     0.38487      1.1983     0.10522    0.031738
     0.15439      1.2734     0.13582    0.025266
     0.15439      1.2734     0.13582    0.025266
     0.42504      1.0889    -0.13499    0.014385
     0.18722      1.2525     0.14099     0.03441
   -0.054602      1.3843     0.48988    0.045409
   -0.048538       1.314     0.31837    0.041554
     0.20196      1.1553     -0.1047    0.023046
     0.10859      1.0804     -0.2121    0.011064
     0.40014     0.92459    -0.25256    0.007459
     0.64433     0.73466    -0.34758   0.0045527
     0.40202      1.0127    -0.22327     0.01165
      0.6053      1.0511   -0.056941    0.020986
     0.51693      1.1629    0.079124    0.025057
     0.62068      1.0718    0.038659    0.030074
     0.62068      1.0718    0.038659    0.030074
     0.62068      1.0718    0.038659    0.030074
     0.62068      1.0718    0.038659    0.030074
     0.48227     0.84089    -0.27511   0.0045762
     0.48227     0.84089    -0.27511   0.0045762
     0.51698      0.6233    -0.21359   0.0044918
     0.51698      0.6233    -0.21359   0.0044918
      0.4347     0.77734    -0.23608   0.0046105
     0.29419     0.87697    -0.23274   0.0048688
       0.377     0.72435    -0.14687   0.0048747
