#   N_BLOCK:  ACCEPTANCE:
           1      0.49745
           2     0.497269
           3     0.497302
           4     0.497261
           5     0.497259
           6     0.497154
           7      0.49712
           8     0.497121
           9     0.497041
          10     0.497078
          11     0.497058
          12     0.497058
          13     0.497045
          14     0.496987
          15     0.497006
          16     0.496988
          17     0.496958
          18     0.496998
          19     0.497021
          20     0.497018
          21     0.497055
          22     0.497025
          23     0.497011
          24     0.497039
          25     0.497035
          26     0.497054
          27     0.497049
          28     0.497055
          29     0.497027
          30     0.497041
