#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              11.4669              11.4669                    0
           2              11.3529              11.4099            0.0402892
           3               11.484              11.4346              0.03359
           4                11.42               11.431            0.0253899
           5              11.4336              11.4315            0.0203173
           6              11.4579              11.4359               0.0174
           7              11.4144              11.4328            0.0151839
           8              11.4384              11.4335            0.0133016
           9              11.4517              11.4355            0.0119759
          10              11.4407               11.436            0.0107893
          11              11.5477              11.4462            0.0137772
          12              11.4393              11.4456             0.012641
          13               11.455              11.4463            0.0116891
          14              11.3016               11.436             0.014731
          15              11.4747              11.4386            0.0139727
          16              11.4163              11.4372            0.0131685
          17              11.5781              11.4455            0.0147739
          18              11.4793              11.4474             0.014072
          19              11.4214               11.446            0.0133975
          20              11.4497              11.4462            0.0127289
          21              11.5208              11.4497            0.0126095
          22              11.4022              11.4476              0.01222
          23              11.4081              11.4459            0.0118085
          24              11.3806              11.4431            0.0116249
          25              11.3934              11.4411             0.011329
          26              11.4224              11.4404            0.0109161
          27               11.456               11.441             0.010527
          28              11.4175              11.4402            0.0101846
          29              11.3557              11.4373            0.0102412
          30              11.4209              11.4367            0.0099143
