     MU:      SIGMA:     E_MEASURED:    ERROR:
    -0.88088     0.66772    -0.39186   0.0061391
    -0.77977     0.96627  -0.0034373    0.020006
     -0.6097      1.0066    -0.12013    0.015841
    -0.67672      0.8083    -0.31215   0.0075308
    -0.45169     0.69409    -0.18723   0.0047691
    -0.32363     0.92371    -0.25153   0.0056476
    -0.21912     0.89741    -0.23247   0.0054266
    0.031664     0.97848    -0.25527   0.0066628
    0.031664     0.97848    -0.25527   0.0066628
     0.13133     0.76215   -0.066468   0.0061576
    -0.14301      1.0416     -0.2447    0.009823
   -0.057658      1.2279   -0.047764    0.020433
    -0.19809      1.0789    -0.22217    0.012035
    -0.14185     0.83957    -0.16997     0.00542
    -0.35043     0.72585    -0.13015   0.0057513
    -0.35043     0.72585    -0.13015   0.0057513
    -0.29965     0.96629    -0.26029   0.0089286
   -0.030122     0.92461    -0.23424   0.0048031
    -0.23894      1.1405    -0.14814    0.017372
    -0.23894      1.1405    -0.14814    0.017372
    -0.23894      1.1405    -0.14814    0.017372
    0.031108      1.1467    -0.17381    0.014193
   -0.068983      1.2616    0.085224    0.026219
   -0.068983      1.2616    0.085224    0.026219
     0.18561       1.301     0.24512    0.033285
     0.18561       1.301     0.24512    0.033285
     0.18561       1.301     0.24512    0.033285
     0.45626      1.1165   -0.049875    0.018936
     0.21843        1.28     0.23238    0.035471
   -0.023388      1.4118     0.61401    0.049209
   -0.017324      1.3415     0.39224    0.045086
     0.23317      1.1829   -0.040273    0.025103
      0.1398      1.1079    -0.18382    0.012772
     0.43135     0.95216    -0.24639   0.0082382
     0.67555     0.76223    -0.34232   0.0060645
     0.43323      1.0403    -0.17027    0.014227
     0.63652      1.0787    0.044389    0.023847
     0.54814      1.1905      0.2158    0.029296
     0.65189      1.0994     0.14915    0.030925
     0.65189      1.0994     0.14915    0.030925
     0.65189      1.0994     0.14915    0.030925
     0.65189      1.0994     0.14915    0.030925
     0.51348     0.86846    -0.26972   0.0071324
     0.26233     0.65131    0.055584    0.006754
     0.29704     0.43372     0.54298    0.010811
     0.29704     0.43372     0.54298    0.010811
     0.21477     0.58776     0.25223   0.0079215
     0.07426     0.68739     0.09413   0.0067327
     0.15707     0.53477     0.48354    0.010542
     0.32192     0.53092     0.24146   0.0079924
       0.127      0.7329  -0.0046616   0.0063935
   -0.057375     0.60241     0.33324   0.0078389
    0.023961     0.53734      0.5614    0.011108
   -0.092128     0.82334    -0.14544    0.005831
   -0.083835     0.88207    -0.20242   0.0049351
   -0.083835     0.88207    -0.20242   0.0049351
    -0.29509     0.82562    -0.19806   0.0055322
    -0.29509     0.82562    -0.19806   0.0055322
    -0.29509     0.82562    -0.19806   0.0055322
    -0.43469     0.90228    -0.26107   0.0063447
    -0.35655     0.90492    -0.25894    0.005303
    -0.15755      1.0682    -0.23994   0.0096494
    -0.14048      1.2068   -0.069464    0.020088
    -0.10707     0.96793    -0.25274   0.0053837
    -0.30868      1.0545    -0.21026     0.01175
    -0.30868      1.0545    -0.21026     0.01175
    -0.46675      0.8887    -0.26705   0.0066376
     -0.5417      1.0611    -0.11068    0.014936
    -0.69576     0.85262    -0.26707   0.0095291
    -0.66892     0.80004    -0.32341   0.0063734
    -0.66892     0.80004    -0.32341   0.0063734
    -0.43944     0.98758    -0.21105    0.014234
    -0.26977     0.89099    -0.23324   0.0059161
    -0.42626     0.98898    -0.24232    0.011203
    -0.36321     0.96575    -0.25555   0.0083067
    -0.36321     0.96575    -0.25555   0.0083067
    -0.31533      1.0526    -0.20598    0.010936
    -0.44166     0.83845    -0.26712   0.0043057
     -0.6716     0.86176    -0.26947   0.0085175
    -0.42668     0.77088    -0.22047   0.0046716
    -0.16678     0.60177     0.27287    0.008448
    -0.16678     0.60177     0.27287    0.008448
    -0.45055     0.55262   -0.049479   0.0059485
    -0.27806     0.59492     0.16268   0.0072557
     -0.5394     0.86405    -0.28166   0.0072866
    -0.80712     0.60349    -0.44387   0.0021109
    -0.96656      0.6894    -0.25587   0.0087695
    -0.93178     0.60479    -0.38306   0.0034939
    -0.93178     0.60479    -0.38306   0.0034939
    -0.96957     0.62604    -0.32063   0.0053801
    -0.96957     0.62604    -0.32063   0.0053801
    -0.96957     0.62604    -0.32063   0.0053801
    -0.96957     0.62604    -0.32063   0.0053801
    -0.96957     0.62604    -0.32063   0.0053801
    -0.96957     0.62604    -0.32063   0.0053801
    -0.96957     0.62604    -0.32063   0.0053801
    -0.92541     0.64035    -0.37224   0.0055255
    -0.79473     0.64711     -0.4397     0.00297
     -0.6413     0.82534    -0.30297   0.0074977
    -0.51163     0.75221    -0.25915   0.0044791
    -0.67509      1.0473    0.065755    0.030743
    -0.57295     0.85324    -0.27546   0.0075919
    -0.46751     0.71686     -0.2249   0.0044871
    -0.47583     0.67437    -0.19266   0.0049423
    -0.22358     0.81901    -0.16372   0.0057026
    -0.31786     0.76187    -0.14607   0.0051751
    -0.25147     0.78941    -0.14217   0.0056399
    -0.38129      0.6729   -0.083149   0.0056345
    -0.38129      0.6729   -0.083149   0.0056345
    -0.11027     0.83648     -0.1595   0.0052751
   -0.066015     0.75979   -0.050076   0.0059784
    -0.36459     0.71858    -0.12961   0.0061699
    -0.35635     0.71375    -0.12045   0.0057136
    -0.58007      0.4481   -0.079909    0.007759
    -0.58007      0.4481   -0.079909    0.007759
    -0.63465     0.48037    -0.20345   0.0065969
    -0.63465     0.48037    -0.20345   0.0065969
    -0.50244     0.52289    -0.11486   0.0054197
    -0.45432     0.73856    -0.21452   0.0038579
    -0.31881     0.98244    -0.24474   0.0075128
     -0.2294      1.1739   -0.090842    0.016185
    -0.18865      1.0613    -0.23443   0.0095088
    -0.10049       1.177    -0.12355    0.015793
     0.17493     0.92012    -0.24427   0.0060034
     0.17493     0.92012    -0.24427   0.0060034
    -0.11601      1.0442    -0.24134    0.010597
    -0.31594     0.91055    -0.24691   0.0054674
    -0.48606      1.0792    -0.11158    0.019468
    -0.31447       1.229     0.13828    0.035048
    -0.57187      1.1071  -0.0050261    0.022882
    -0.57187      1.1071  -0.0050261    0.022882
     -0.7778     0.88081    -0.18363    0.013405
    -0.82053     0.59331    -0.44109   0.0024695
    -0.78761     0.66148    -0.43298   0.0033483
    -0.78761     0.66148    -0.43298   0.0033483
    -0.58642      0.9108    -0.24541   0.0091689
    -0.69444     0.67514    -0.39843   0.0031996
    -0.71408     0.89272    -0.22217    0.012345
    -0.77632      0.7366    -0.36188   0.0074305
     -1.0476     0.44327     0.11982   0.0077426
     -1.0476     0.44327     0.11982   0.0077426
     -1.2233     0.44829     0.42517   0.0068946
     -1.0337     0.55835    -0.19998   0.0048372
    -0.90594     0.67855    -0.36891   0.0059783
    -0.90594     0.67855    -0.36891   0.0059783
    -0.64298     0.69312    -0.36387   0.0029952
    -0.38028      0.8792    -0.25201   0.0061177
    -0.27646     0.77269     -0.1248   0.0054922
    -0.54851     0.73818    -0.29335   0.0039777
    -0.65084     0.70161    -0.36483   0.0028873
    -0.45884     0.92684    -0.24663   0.0080401
    -0.30776      1.0674    -0.20183    0.010853
    -0.17319       1.157    -0.11889    0.018767
   -0.087564      1.1488    -0.15452    0.016461
    0.063385     0.97915    -0.25197   0.0061068
    0.063385     0.97915    -0.25197   0.0061068
   0.0052416     0.85477    -0.17944   0.0054832
  -0.0069799     0.87088    -0.18248   0.0049079
     0.17273     0.81935    -0.15568   0.0050894
     0.46981     0.78943     -0.2597   0.0040262
     0.21694      1.0191    -0.23709   0.0096379
     0.40989     0.74475    -0.19206   0.0052123
     0.20709     0.70828   0.0028356   0.0063259
     0.20709     0.70828   0.0028356   0.0063259
     0.34227     0.52709     0.18998   0.0068234
     0.57232     0.64665    -0.29375   0.0033677
     0.32009     0.92014    -0.25539   0.0066406
     0.30396        1.08    -0.18881    0.012566
     0.16068      1.1933   -0.065203    0.026005
     0.16068      1.1933   -0.065203    0.026005
     0.23853      1.0887    -0.17538    0.013494
     0.47568      1.1946     0.10649     0.02912
     0.47568      1.1946     0.10649     0.02912
     0.32746      1.0802    -0.17668    0.013966
     0.43498      1.2387     0.18967     0.02639
     0.43498      1.2387     0.18967     0.02639
     0.43498      1.2387     0.18967     0.02639
     0.54795      1.2226     0.36966    0.041868
     0.54795      1.2226     0.36966    0.041868
     0.54795      1.2226     0.36966    0.041868
     0.44571      1.2135     0.13562    0.027499
     0.18615       1.258    0.096682     0.02456
     0.18615       1.258    0.096682     0.02456
     0.30926      1.1113    -0.13798    0.014909
     0.48307      0.9183    -0.26291    0.009376
     0.48307      0.9183    -0.26291    0.009376
     0.20147     0.91255    -0.23582   0.0052063
     0.28036     0.98749     -0.2479   0.0071146
     0.36266     0.94612    -0.24911   0.0077909
     0.21663      1.0892    -0.21092    0.010487
    0.022152      1.0879    -0.22012    0.010738
     0.10388      1.3249       0.248    0.031037
     0.10388      1.3249       0.248    0.031037
     0.10388      1.3249       0.248    0.031037
     0.31242       1.379     0.64062    0.050096
     0.38035      1.2823     0.24818    0.032185
     0.12017      1.3232     0.32829     0.03638
    0.043457      1.1939   -0.068167    0.021089
