#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1               4.5577               4.5577                    0
           2               4.9489               4.7533              0.13831
           3               6.3641              5.29023             0.447996
           4                4.885              5.18892             0.347263
           5               4.9701              5.14516             0.280555
           6               4.6651              5.06515             0.244939
           7               5.9966              5.19821             0.243423
           8               5.4259              5.22667             0.214652
           9               6.0178              5.31458             0.208023
          10               4.9229              5.27541             0.190873
          11               5.4627              5.29244             0.174278
          12               4.5883              5.23376             0.169346
          13               4.4068              5.17015             0.167842
          14               4.5131              5.12321             0.162282
          15               4.4972              5.08148             0.156738
          16               5.0749              5.08107             0.146942
          17               4.1833              5.02826             0.147483
          18               5.7771              5.06986             0.145039
          19               5.9372              5.11551              0.14441
          20               4.2877              5.07412             0.142999
          21               3.9278              5.01953             0.146237
          22               5.8626              5.05785             0.144524
          23               4.9191              5.05182             0.138366
          24               5.7917              5.08265             0.135992
          25               5.0911              5.08299             0.130552
          26               4.3101              5.05326             0.128871
          27               5.8324              5.08212             0.127288
          28               4.8635              5.07431             0.122981
          29                4.228              5.04513             0.122154
          30               4.5347              5.02811             0.119261
          31               4.8665               5.0229             0.115528
          32               4.6371              5.01084             0.112545
          33               4.2157              4.98675             0.111684
          34               5.3552              4.99759             0.108924
          35               7.0605              5.05653              0.12071
          36               5.0207              5.05553             0.117361
          37               4.4342              5.03874             0.115384
          38               5.3865              5.04789              0.11271
          39               5.4473              5.05813             0.110284
          40               5.8952              5.07906             0.109495
