#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              255.121              255.121                    0
           2              271.491              263.306              5.78769
           3              281.106              269.239              6.19338
           4               258.36              266.519              5.20809
           5               250.41              263.297              5.06592
           6              256.012              262.083              4.36469
           7              258.071               261.51              3.77861
           8              252.558              260.391              3.46801
           9              255.441              259.841              3.12599
          10              237.969              257.654              3.49578
          11              252.647              257.199              3.20748
          12              246.355              256.295              3.06484
          13              243.955              255.346              2.97246
          14                261.5              255.785              2.79246
          15              247.239              255.216              2.66379
          16              255.913              255.259              2.49766
          17              273.854              256.353              2.57916
          18              257.421              256.412              2.43656
          19              260.017              256.602              2.31569
          20              242.815              255.913              2.30022
          21              257.123               255.97              2.19141
          22              261.568              256.225              2.10652
          23              264.344              256.578               2.0443
          24              244.763              256.086              2.01752
          25              249.972              255.841              1.95158
          26              266.293              256.243              1.91747
          27              241.584                255.7              1.92178
          28              265.013              256.033              1.88171
          29              251.259              255.868                1.824
          30              258.352              255.951              1.76508
          31              272.433              256.483              1.78643
          32              256.395               256.48               1.7306
          33              238.223              255.927              1.76437
          34              261.257              256.083              1.71943
          35              268.064              256.426              1.70404
          36              255.863               256.41              1.65677
          37              259.901              256.504              1.61468
          38              251.662              256.377              1.57721
          39              252.243              256.271              1.54033
          40              268.877              256.586              1.53372
