#   N_BLOCK:  ACCEPTANCE:
           1     0.479458
           2      0.47907
           3     0.479112
           4     0.479173
           5     0.479114
           6     0.479035
           7     0.479015
           8     0.478993
           9     0.478849
          10     0.478893
          11      0.47887
          12     0.478871
          13     0.478849
          14     0.478842
          15     0.478862
          16     0.478863
          17     0.478859
          18      0.47887
          19     0.478913
          20      0.47896
          21     0.478962
          22     0.478914
          23     0.478911
          24      0.47891
          25     0.478917
          26     0.478931
          27     0.478928
          28     0.478931
          29     0.478899
          30     0.478905
