#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1               2.1517               2.1517                    0
           2               2.2448              2.19825            0.0329158
           3                3.033               2.4765             0.228247
           4               2.7326              2.54052             0.179941
           5                2.184              2.46922             0.157448
           6               2.0957              2.40697             0.142986
           7               2.3191              2.39441             0.123109
           8               2.6337              2.42433             0.111294
           9                2.834              2.46984             0.107836
          10               2.1674               2.4396             0.101205
          11               2.9465              2.48568             0.101957
          12                2.409              2.47929             0.093661
          13               2.6648              2.49356            0.0875366
          14               2.4379              2.48959            0.0813742
          15               2.1572              2.46743            0.0789087
          16               1.7978              2.42558            0.0843485
          17               1.4498              2.36818            0.0969694
          18               2.9724              2.40174            0.0972189
          19               2.6886              2.41684             0.093267
          20               2.7105              2.43153             0.089752
          21               1.1524              2.37061             0.104115
          22               2.9934              2.39892             0.103159
          23               2.0679              2.38453             0.099673
          24               2.3431               2.3828            0.0955349
          25               2.3902               2.3831             0.091714
          26               1.4928              2.34886            0.0943626
          27               2.9066              2.36951            0.0931013
          28               2.1658              2.36224              0.09006
          29               2.2236              2.35746            0.0870813
          30                 2.47              2.36121            0.0842594
          31               2.4413              2.36379            0.0815809
          32               1.8203              2.34681            0.0807801
          33               2.1744              2.34158             0.078501
          34                2.387              2.34292            0.0762035
          35               3.2657              2.36929            0.0784548
          36               2.3821              2.36964            0.0762763
          37               1.8943              2.35679            0.0752889
          38               2.5414              2.36165            0.0734642
          39               3.3012              2.38574            0.0754272
          40               2.9257              2.39924            0.0747396
