#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              119.499              119.499                    0
           2              118.399              118.949             0.388967
           3              119.363              119.087             0.282699
           4              121.871              119.783             0.638886
           5              122.055              120.237             0.652988
           6              119.893               120.18             0.546674
           7              128.548              121.375              1.20185
           8              123.811               121.68              1.08951
           9              120.183              121.514             0.981072
          10              119.293              121.291             0.907743
          11              121.573              121.317             0.825582
          12              120.028               121.21             0.763738
          13              114.941              120.727             0.843604
          14              116.725              120.442             0.830378
          15              123.092              120.618             0.793595
          16              118.688              120.498             0.753108
          17              121.739              120.571             0.712337
          18              121.324              120.612              0.67399
          19              115.792              120.359             0.684605
          20              120.872              120.384             0.650856
          21              117.796              120.261             0.631423
          22              123.443              120.406             0.619064
          23              122.546              120.499               0.5991
          24               118.33              120.408             0.580913
          25              124.065              120.555             0.575791
          26              126.805              120.795             0.601741
          27               119.92              120.763             0.580326
          28              124.342              120.891             0.573504
          29              116.948              120.755             0.569613
          30              118.704              120.686              0.55471
          31              122.458              120.743             0.539752
          32              120.395              120.733             0.522995
          33              115.766              120.582             0.528355
          34              121.558              120.611             0.513595
          35              123.739                120.7             0.506639
          36              123.397              120.775             0.498075
          37              126.093              120.919             0.504922
          38              113.863              120.733             0.524667
          39              120.833              120.736              0.51122
          40              123.086              120.794             0.501805
