#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1               1.1982               1.1982                    0
           2               1.4961              1.34715             0.105324
           3               1.9875               1.5606             0.187894
           4               2.0206               1.6756             0.172561
           5               1.8486               1.7102             0.141475
           6               1.2738              1.63747             0.135307
           7               1.5295              1.62204             0.116853
           8               2.0067              1.67013             0.111702
           9               1.7156              1.67518            0.0994044
          10               1.3351              1.64117            0.0951035
          11               1.9702              1.67108            0.0910402
          12               1.6973              1.67327            0.0834798
          13               1.5087              1.66061            0.0780121
          14               1.5637              1.65369            0.0727463
          15               1.4885              1.64267             0.068725
          16               1.2683              1.61927            0.0682968
          17               0.9704              1.58111            0.0741823
          18               1.7597              1.59103            0.0707215
          19               1.8295              1.60358            0.0681039
          20               1.4916              1.59798            0.0649285
          21               1.0039              1.56969            0.0677197
          22               2.0148              1.58992            0.0675963
          23               1.5117              1.58652            0.0647429
          24               1.4295              1.57998             0.062375
          25               1.5963              1.58063            0.0598834
          26               1.1128              1.56264            0.0602228
          27               1.8197              1.57216            0.0587401
          28               1.4256              1.56692             0.056875
          29               1.3489              1.55941            0.0554085
          30               1.5683               1.5597            0.0535623
          31               1.7532              1.56595            0.0521969
          32               1.2904              1.55733            0.0512711
          33               1.4065              1.55276            0.0499207
          34               1.5613              1.55301            0.0484531
          35               1.9017              1.56298             0.048082
          36               1.6609               1.5657            0.0468233
          37               1.3126              1.55886            0.0460548
          38                1.679              1.56202            0.0449512
          39                1.851              1.56943            0.0444051
          40                1.902              1.57774            0.0440665
