#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              173.595              173.595                    0
           2              176.903              175.249              1.16948
           3              174.729              175.076             0.792384
           4              175.619              175.212              0.60584
           5              176.263              175.422             0.519876
           6              177.127              175.706             0.504938
           7              177.485               175.96             0.492659
           8               177.64               176.17             0.473714
           9              175.662              176.114             0.424428
          10              176.579               176.16             0.384524
          11              177.926              176.321             0.381619
          12              174.728              176.188             0.372195
          13              176.442              176.208             0.344077
          14              179.064              176.412             0.375154
          15              177.441               176.48             0.356367
          16               175.15              176.397              0.34366
          17              174.236               176.27             0.346168
          18              178.203              176.377             0.343183
          19              178.244              176.476             0.338893
          20              177.706              176.537             0.327481
          21              177.969              176.605              0.31891
          22              176.715               176.61             0.304454
          23              175.676               176.57             0.293913
          24              175.128               176.51             0.287742
          25              177.181              176.536             0.277484
          26              177.536              176.575             0.269464
          27              176.973               176.59             0.259887
          28              179.337              176.688             0.268494
          29              175.361              176.642             0.263105
          30              178.794              176.714             0.263929
