#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1               3.5868               3.5868                    0
           2              3.48622              3.53651            0.0355604
           3              3.12486              3.39929             0.114518
           4              3.27744              3.36883            0.0898488
           5              3.33296              3.36166            0.0721649
           6              3.40882              3.36952             0.060564
           7              3.74186              3.42271            0.0715544
           8              3.50692              3.43323            0.0633797
           9               3.1369              3.40031             0.064324
          10              3.09704              3.36998            0.0646467
          11               3.4727              3.37932            0.0594403
          12              3.21346               3.3655            0.0560709
          13              3.25504                3.357            0.0523976
          14              3.64954               3.3779            0.0526568
          15               3.1626              3.36354            0.0510651
          16              3.45376              3.36918            0.0481838
          17               3.6222              3.38407            0.0475926
          18               3.4908                 3.39            0.0453165
          19              3.58854              3.40045            0.0441198
          20              3.30488              3.39567            0.0421717
          21              3.56582              3.40377            0.0409345
          22              3.47156              3.40685            0.0391897
          23              3.52814              3.41212            0.0378389
          24               3.5686              3.41864            0.0368197
          25              3.88868              3.43745            0.0398592
          26              3.58932              3.44329            0.0387518
          27              3.15842              3.43274            0.0387262
          28              3.84484              3.44745            0.0400424
          29              3.35876               3.4444            0.0387782
          30              3.22136              3.43696            0.0381917
