#   N_BLOCK:  ACCEPTANCE:
           1     0.522065
           2     0.522048
           3      0.52203
           4     0.522127
           5     0.522147
           6     0.522074
           7     0.521984
           8     0.522071
           9      0.52206
          10     0.522063
          11     0.522034
          12     0.522044
          13     0.522057
          14     0.522061
          15     0.522081
          16     0.522043
          17     0.522034
          18     0.522067
          19     0.522124
          20     0.522137
          21     0.522171
          22     0.522166
          23     0.522142
          24     0.522146
          25      0.52213
          26     0.522147
          27     0.522141
          28      0.52216
          29     0.522152
          30     0.522163
