#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              10.4203              10.4203                    0
           2              10.3409              10.3806            0.0280567
           3              10.4765              10.4126            0.0321051
           4              10.4771              10.4287             0.027835
           5              10.4636              10.4357            0.0231261
           6              10.4479              10.4377            0.0193615
           7              10.3585              10.4264            0.0196224
           8              10.4012              10.4232            0.0174203
           9              10.3935              10.4199            0.0157941
          10              10.4561              10.4236             0.014622
          11              10.4571              10.4266            0.0136065
          12              10.4295              10.4268            0.0124748
          13              10.3635               10.422            0.0124299
          14              10.3406              10.4162             0.012828
          15               10.435              10.4174            0.0120341
          16              10.4281              10.4181            0.0113006
          17              10.4697              10.4211             0.011036
          18              10.4801              10.4244            0.0108985
          19              10.4702              10.4268            0.0105878
          20              10.3892              10.4249            0.0102236
          21              10.4752              10.4273            0.0100131
          22              10.4328              10.4276           0.00956102
          23              10.4646              10.4292            0.0092802
          24               10.427              10.4291           0.00889396
          25              10.4483              10.4299           0.00857123
          26              10.4186              10.4294           0.00825251
          27              10.3777              10.4275           0.00816622
          28              10.4168              10.4271           0.00788348
          29              10.3997              10.4262           0.00766814
          30              10.5128              10.4291           0.00793744
