#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              1.46352              1.46352                    0
           2              1.43554              1.44953           0.00989242
           3              1.58572              1.49493            0.0376483
           4              1.44504              1.48245            0.0302315
           5              1.42334              1.47063             0.026396
           6              1.53352              1.48111            0.0239876
           7              1.52762              1.48776            0.0214611
           8              1.53452               1.4936            0.0195583
           9              1.27064              1.46883            0.0291167
          10              1.42016              1.46396            0.0266087
          11              1.48986              1.46632            0.0242937
          12              1.47934               1.4674            0.0222934
          13              1.62444              1.47948            0.0236257
          14              1.64024              1.49096            0.0245707
          15              1.40514              1.48524            0.0235894
          16              1.45318              1.48324               0.0222
          17               1.4969              1.48404            0.0209087
          18              1.40354              1.47957            0.0202198
          19               1.3125              1.47078            0.0209806
          20              1.37422              1.46595            0.0204795
          21              1.58568              1.47165            0.0202824
          22              1.36092              1.46662            0.0199752
          23              1.42934                1.465            0.0191724
          24              1.49612              1.46629            0.0184173
          25              1.50526              1.46785            0.0177465
          26              1.47318              1.46806            0.0170651
          27              1.46708              1.46802            0.0164331
          28              1.44252              1.46711            0.0158714
          29              1.54406              1.46976            0.0155444
          30               1.3247              1.46493            0.0157604
