#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1            -0.478062            -0.478062                    0
           2            -0.478159             -0.47811          3.45068e-05
           3            -0.478486            -0.478236          0.000104888
           4            -0.476857            -0.477891          0.000308738
           5            -0.477626            -0.477838          0.000251485
           6            -0.477942            -0.477855          0.000210162
           7            -0.478715            -0.477978          0.000213034
           8            -0.477257            -0.477888            0.0002046
           9            -0.478513            -0.477957          0.000193286
          10            -0.477774            -0.477939          0.000174829
          11            -0.477249            -0.477876          0.000169824
          12            -0.478024            -0.477889          0.000156117
          13            -0.477646             -0.47787          0.000145216
          14             -0.47769            -0.477857          0.000135413
          15             -0.47797            -0.477865          0.000126593
          16             -0.47806            -0.477877          0.000119269
          17            -0.477317            -0.477844          0.000116714
          18            -0.477278            -0.477812          0.000114391
          19            -0.477353            -0.477788          0.000110898
          20            -0.477766            -0.477787          0.000105359
          21            -0.477168            -0.477758          0.000104385
          22             -0.47784            -0.477761          9.97073e-05
          23            -0.478227            -0.477782          9.74077e-05
          24            -0.477458            -0.477768          9.42753e-05
          25             -0.47837            -0.477792          9.35238e-05
          26            -0.476825            -0.477755          9.70462e-05
          27            -0.477842            -0.477758          9.35059e-05
          28            -0.477465            -0.477748          9.07517e-05
          29            -0.477599            -0.477743          8.77668e-05
          30            -0.477418            -0.477732           8.5504e-05
