#   N_BLOCK:  ACCEPTANCE:
           1      0.31468
           2     0.314553
           3     0.314491
           4     0.314445
           5      0.31453
           6     0.314668
           7     0.314667
           8     0.314713
           9     0.314756
          10     0.314736
          11     0.314766
          12     0.314817
          13      0.31486
          14     0.314908
          15     0.314928
          16      0.31485
          17     0.314879
          18     0.314905
          19     0.314952
          20     0.314987
          21      0.31496
          22     0.314907
          23     0.314897
          24     0.314907
          25     0.314901
          26     0.314916
          27     0.314907
          28     0.314948
          29     0.314934
          30     0.314923
