#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              18.6349              18.6349                    0
           2              18.5822              18.6085            0.0186539
           3              18.9254              18.7142             0.087132
           4              18.8509              18.7483            0.0717438
           5              18.5596              18.7106            0.0665929
           6              18.7633              18.7194            0.0560697
           7              18.6834              18.7142            0.0482941
           8              18.6331              18.7041            0.0433089
           9               18.505               18.682            0.0437842
          10              18.6593              18.6797            0.0394645
          11              19.0192              18.7106            0.0464026
          12              18.6821              18.7082            0.0425965
          13              18.6314              18.7023             0.039727
          14              18.6641              18.6996            0.0369827
          15              18.4801              18.6849            0.0372998
          16              18.7179               18.687            0.0350254
          17              18.9273              18.7011            0.0357042
          18              18.7851              18.7058            0.0340243
          19              18.7271              18.7069            0.0322519
          20              18.7446              18.7088            0.0306943
          21              18.7761               18.712            0.0293997
          22              18.5081              18.7027            0.0294875
          23              18.7058              18.7029            0.0282058
          24              18.5706              18.6974            0.0275634
          25              18.7687              18.7002             0.026608
          26              18.5175              18.6932             0.026496
          27              18.7226              18.6943            0.0255371
          28              18.7444              18.6961            0.0246876
          29              18.6581              18.6948             0.023871
          30              18.5849              18.6911            0.0233546
