#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1            -0.686395            -0.686395                    0
           2            -0.685673            -0.686034          0.000255407
           3            -0.685714            -0.685927          0.000191302
           4            -0.685634            -0.685854          0.000156927
           5            -0.685044            -0.685692          0.000191691
           6            -0.684614            -0.685512          0.000228888
           7            -0.685258            -0.685476           0.00019906
           8            -0.685073            -0.685425          0.000180442
           9            -0.684695            -0.685344          0.000177704
          10            -0.685163            -0.685326          0.000160854
          11            -0.684571            -0.685258          0.000160208
          12            -0.684666            -0.685208          0.000154266
          13             -0.68418            -0.685129          0.000161409
          14            -0.684191            -0.685062          0.000163193
          15            -0.685165            -0.685069          0.000152457
          16            -0.686358             -0.68515           0.00016284
          17            -0.684338            -0.685102            0.0001601
          18            -0.684694            -0.685079          0.000152798
          19             -0.68409            -0.685027          0.000153363
          20            -0.684486               -0.685           0.00014806
          21            -0.685826            -0.685039          0.000146134
          22            -0.685886            -0.685078          0.000144473
          23            -0.684797            -0.685066          0.000138708
          24            -0.684541            -0.685044          0.000134642
          25            -0.685152            -0.685048          0.000129325
          26            -0.684588             -0.68503          0.000125557
          27            -0.685146            -0.685035          0.000120979
          28            -0.683932            -0.684995          0.000122902
          29            -0.685186            -0.685002           0.00011884
          30            -0.685476            -0.685018          0.000115925
