     MU:      SIGMA:     E_MEASURED:    ERROR:
    -0.83845     0.67408    -0.41222   0.0054724
    -0.73734     0.97263   -0.057747    0.019704
    -0.56727      1.0129    -0.14355    0.014957
    -0.63429     0.81467    -0.30027    0.007387
    -0.40926     0.70045    -0.14689   0.0052141
     -0.2812     0.93007    -0.24343   0.0052548
    -0.17669     0.90377    -0.23437   0.0047353
    0.074094     0.98485    -0.25713    0.006466
    0.074094     0.98485    -0.25713    0.006466
     0.17376     0.76852   -0.086105   0.0064713
    -0.10058       1.048    -0.23415    0.011224
   -0.015227      1.2343   -0.064207     0.01982
    -0.15566      1.0852    -0.21901    0.012097
   -0.099415     0.84594    -0.16816    0.005343
      -0.308     0.73221     -0.1013   0.0055839
      -0.308     0.73221     -0.1013   0.0055839
    -0.25722     0.97265    -0.26135   0.0061825
    0.012309     0.93097    -0.23703   0.0054983
    -0.19651      1.1469    -0.15617    0.016963
    -0.19651      1.1469    -0.15617    0.016963
    -0.19651      1.1469    -0.15617    0.016963
    0.073539      1.1531    -0.16008    0.015278
   -0.026553       1.268    0.095366    0.028803
   -0.026553       1.268    0.095366    0.028803
     0.22804      1.3074     0.28955    0.038216
     0.22804      1.3074     0.28955    0.038216
     0.22804      1.3074     0.28955    0.038216
     0.49869      1.1229   -0.015115    0.018344
     0.49869      1.1229   -0.015115    0.018344
     0.25687      1.2547     0.12288    0.028975
     0.26293      1.1844    0.022909    0.025198
     0.51343      1.0257     -0.1434    0.019243
     0.42006     0.95077    -0.25319    0.007701
     0.71161       0.795    -0.32136   0.0075629
      0.9558     0.60507    -0.34807   0.0043345
     0.71349      0.8831    -0.18507     0.01555
     0.91677     0.92149     0.15727    0.021087
      0.8284      1.0333     0.25716    0.026575
     0.93215     0.94225     0.26372    0.026887
     0.67641      1.2315     0.57851    0.047029
     0.67641      1.2315     0.57851    0.047029
     0.67641      1.2315     0.57851    0.047029
       0.538      1.0006    -0.18586    0.012879
     0.28686     0.78345    -0.15527   0.0045918
     0.32156     0.56585     0.15558   0.0080396
     0.32156     0.56585     0.15558   0.0080396
     0.23929     0.71989   -0.044806   0.0059923
     0.09878     0.81952    -0.13505   0.0049795
     0.18159      0.6669    0.098804   0.0068882
     0.34644     0.66305   -0.042249   0.0063397
     0.15152     0.86503    -0.19778   0.0060443
   -0.032854     0.73454    0.015362   0.0066927
    0.048482     0.66947     0.14603   0.0079189
   -0.067608     0.95548    -0.24449   0.0062167
   -0.059314      1.0142    -0.25327   0.0070678
    -0.26429     0.78457    -0.14095   0.0063281
    -0.47555     0.72812    -0.23164   0.0044005
    -0.47555     0.72812    -0.23164   0.0044005
    -0.47555     0.72812    -0.23164   0.0044005
    -0.61514     0.80479     -0.3151   0.0076799
      -0.537     0.80742     -0.2905   0.0047127
      -0.338     0.97074    -0.25205   0.0081033
    -0.32093      1.1093    -0.16518     0.01249
    -0.28753     0.87043    -0.23236   0.0051408
    -0.48913     0.95702    -0.24438   0.0095239
