#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              2.92932              2.92932                    0
           2              2.98256              2.95594            0.0188232
           3              2.66028              2.85739            0.0814411
           4              2.65228              2.80611            0.0755171
           5              2.71984              2.78886            0.0623536
           6              2.82156              2.79431             0.052199
           7              3.01922              2.82644            0.0537284
           8              3.12044              2.86319            0.0582402
           9              2.73094              2.84849            0.0535907
          10              2.60586              2.82423            0.0534428
          11              2.84672              2.82627            0.0486234
          12              2.56382               2.8044            0.0492454
          13               2.7395              2.79941            0.0457096
          14              2.96206              2.81103            0.0438962
          15              2.56298              2.79449            0.0439745
          16              2.70826               2.7891             0.041555
          17               3.0753              2.80594            0.0423838
          18              2.80558              2.80592            0.0400292
          19              2.84282              2.80786            0.0379695
          20              2.59706              2.79732            0.0375054
          21              2.78824              2.79689            0.0357219
          22              2.89416              2.80131            0.0343707
          23              2.87282              2.80442            0.0330167
          24              2.97184              2.81139            0.0323696
          25              3.18874              2.82649            0.0344144
          26               2.9416              2.83092            0.0333744
          27              2.70292              2.82617            0.0324732
          28              3.04334              2.83393            0.0322264
          29              2.73738               2.8306            0.0312866
          30              2.51208              2.81998            0.0319946
