#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              141.613              141.613                    0
           2              141.042              141.327             0.201974
           3              141.725               141.46             0.172824
           4              141.878              141.565             0.158075
           5              141.119              141.476             0.149445
           6               144.21              141.931             0.434247
           7              145.439              142.432             0.594838
           8              144.512              142.692              0.57449
           9              142.608              142.683             0.510733
          10              142.409              142.656             0.460396
          11              144.456              142.819               0.4467
          12               143.02              142.836             0.409789
          13              141.348              142.722             0.393921
          14              145.134              142.894               0.4017
          15              143.354              142.925             0.376089
          16              141.395              142.829             0.364527
          17              141.894              142.774              0.34721
          18              143.058               142.79             0.328277
          19              143.641              142.835             0.314044
          20               142.97              142.841             0.298416
          21              144.267              142.909              0.29182
          22              144.391              142.977             0.286222
          23              141.918              142.931             0.277454
          24              141.192              142.858             0.275185
          25              144.705              142.932             0.273912
          26                143.8              142.965             0.265405
          27              143.059              142.969             0.255598
          28              144.604              143.027             0.253053
          29              144.181              143.067             0.247436
          30              145.238              143.139             0.249547
