#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1                3.423                3.423                    0
           2               3.8435              3.63325             0.148669
           3               4.3247              3.86373             0.212693
           4               3.8008                3.848             0.160101
           5               3.3687              3.75214              0.15413
           6               3.3456              3.68438             0.142559
           7               3.6772              3.68336             0.122197
           8               4.1472              3.74134             0.119891
           9               4.4412               3.8191             0.129353
          10                3.143              3.75149             0.132918
          11               4.0262              3.77646             0.123158
          12                3.225              3.73051             0.121166
          13               3.1847              3.68852             0.118897
          14               3.5172              3.67629             0.111033
          15               3.6966              3.67764             0.103639
          16               3.1203              3.64281             0.102849
          17               2.5254              3.57708             0.115915
          18               4.4382              3.62492             0.118938
          19                  3.1              3.59729             0.115843
          20               3.3519              3.58502             0.110698
          21               2.3945              3.52833             0.119062
          22                3.807                3.541             0.114322
          23               3.1023              3.52192             0.110931
          24               4.2264              3.55127             0.110124
          25               3.7174              3.55792             0.105919
          26               2.6437              3.52276             0.107524
          27               4.2359              3.54917             0.106736
          28               3.6323              3.55214             0.102965
          29               3.1915               3.5397             0.100163
          30               3.1148              3.52554            0.0978206
          31               3.4259              3.52233            0.0947179
          32                3.262              3.51419            0.0921066
          33               3.3506              3.50923            0.0894488
          34               3.4435               3.5073            0.0868389
          35               4.8815              3.54656            0.0928103
          36               3.9272              3.55714            0.0908325
          37               3.0381              3.54311            0.0894543
          38               3.6102              3.54487            0.0871176
          39               4.1282              3.55983            0.0861583
          40               4.2634              3.57742            0.0857809
