#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              226.703              226.703                    0
           2              214.433              220.568              4.33782
           3              215.292              218.809              3.22874
           4              218.209              218.659              2.42504
           5              206.706              216.269              2.88714
           6              213.697               215.84              2.43756
           7              225.009               217.15              2.41579
           8              222.036              217.761              2.18967
           9              224.158              218.472              2.05853
          10              217.154               218.34              1.85689
          11              221.405              218.618              1.70886
          12              220.325              218.761              1.57237
          13               217.41              218.657              1.45484
          14              215.649              218.442               1.3667
          15              221.078              218.618              1.28684
          16              232.544              219.488              1.47163
          17              210.815              218.978              1.47085
          18              213.435               218.67                1.421
          19               216.16              218.538              1.35234
          20               206.47              217.934              1.41293
          21              220.335              218.049              1.35026
          22              221.839              218.221              1.29983
          23              206.235                217.7              1.34374
          24              206.551              217.235              1.36569
          25              226.656              217.612              1.36205
          26              223.892              217.854              1.33091
          27              228.811               218.26              1.34206
          28              217.684              218.239              1.29429
          29              212.124              218.028              1.26672
          30              211.633              217.815               1.2423
          31              215.225              217.731              1.20503
          32              233.814              218.234              1.26786
          33              207.666              217.914              1.26925
          34              216.758               217.88              1.23237
          35              210.149              217.659              1.21679
          36               211.69              217.493              1.19424
          37              211.023              217.318              1.17469
          38              221.825              217.437              1.14975
          39              216.853              217.422              1.12037
          40              212.218              217.292              1.09989
