#   N_BLOCK:  ACCEPTANCE:
           1     0.320328
           2     0.321331
           3     0.321336
           4     0.321579
           5     0.321662
           6     0.321475
           7     0.321391
           8     0.321357
           9     0.321573
          10     0.321367
          11     0.321253
          12     0.321321
          13     0.321112
          14     0.321401
          15     0.321355
          16     0.321313
          17     0.321263
          18     0.321288
          19     0.321226
          20     0.321298
          21     0.321244
          22     0.321221
          23     0.321334
          24     0.321344
          25     0.321169
          26     0.321178
          27     0.321202
          28     0.321118
          29     0.321193
          30     0.321211
          31     0.321204
          32     0.321178
          33     0.321287
          34     0.321315
          35     0.321327
          36     0.321388
          37     0.321396
          38     0.321416
          39     0.321445
          40     0.321456
