#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              18.3755              18.3755                    0
           2              18.7958              18.5856             0.148572
           3              18.6077               18.593            0.0992295
           4              17.7066              18.3714             0.205843
           5              18.1284              18.3228             0.170314
           6              17.9005              18.2524             0.155794
           7              18.2938              18.2583              0.13365
           8              18.4006              18.2761             0.118121
           9               18.801              18.3344             0.118525
          10              18.2288              18.3239             0.107141
          11              18.7431               18.362             0.103958
          12               18.305              18.3572            0.0954032
          13               18.274              18.3508            0.0882789
          14              17.6336              18.2996            0.0956914
          15              18.5532              18.3165            0.0907934
          16              18.4716              18.3262            0.0856346
          17               18.042              18.3095            0.0822126
          18              18.4108              18.3151            0.0778376
          19              18.1219              18.3049             0.074402
          20              18.4723              18.3133             0.071151
          21              18.3477              18.3149            0.0677817
          22              18.6623              18.3307            0.0665138
          23              18.2977              18.3293            0.0636374
          24              18.6321              18.3419            0.0622238
          25              18.9272              18.3653            0.0639879
          26              18.5608              18.3728            0.0619671
          27              18.5733              18.3803            0.0601152
          28              18.7496              18.3935            0.0593977
          29              18.8158               18.408            0.0591076
          30              18.3719              18.4068            0.0571496
          31               18.861              18.4215            0.0571534
          32              18.6977              18.4301            0.0560153
          33              18.0398              18.4183            0.0555527
          34               18.125              18.4096            0.0545842
          35              18.3717              18.4086            0.0530354
          36              18.6551              18.4154            0.0520026
          37              18.2532               18.411            0.0507816
          38              18.3864              18.4104            0.0494494
          39              18.7785              18.4198            0.0490743
          40              18.5458               18.423            0.0479484
