#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1            -0.553384            -0.553384                    0
           2            -0.551244            -0.552314          0.000756604
           3            -0.553988            -0.552872          0.000679705
           4            -0.554148            -0.553191          0.000579823
           5            -0.555608            -0.553674          0.000634118
           6            -0.551752            -0.553354          0.000603976
           7            -0.553784            -0.553415          0.000520808
           8            -0.553372             -0.55341          0.000455735
           9            -0.552004            -0.553254          0.000431043
          10             -0.55236            -0.553164          0.000397097
          11             -0.55298            -0.553148          0.000361351
          12            -0.554008            -0.553219          0.000338276
          13            -0.554404             -0.55331          0.000324297
          14            -0.549272            -0.553022          0.000409814
          15             -0.55306            -0.553025          0.000382501
          16             -0.55486            -0.553139          0.000375403
          17            -0.553252            -0.553146          0.000353379
          18            -0.553288            -0.553154          0.000333835
          19             -0.55382            -0.553189          0.000318101
          20            -0.550532            -0.553056          0.000328766
          21               -0.554            -0.553101          0.000316169
          22            -0.555712             -0.55322          0.000323307
          23            -0.553748            -0.553243          0.000310065
          24             -0.55248            -0.553211           0.00029877
          25            -0.554396            -0.553258          0.000290556
          26            -0.555456            -0.553343          0.000291417
          27            -0.551936            -0.553291          0.000285243
          28             -0.55416            -0.553322          0.000276741
          29             -0.55274            -0.553302          0.000267924
          30            -0.552024            -0.553259          0.000262356
          31            -0.554508            -0.553299          0.000256968
          32            -0.551884            -0.553255          0.000252715
          33            -0.553108            -0.553251          0.000245097
          34               -0.552            -0.553214          0.000240632
          35            -0.552588            -0.553196          0.000234421
          36            -0.553536            -0.553205          0.000228099
          37            -0.552824            -0.553195          0.000222167
          38            -0.552016            -0.553164          0.000218477
          39             -0.55352            -0.553173          0.000213065
          40            -0.555532            -0.553232          0.000215745
