#   N_BLOCK:  ACCEPTANCE:
           1     0.103886
           2     0.103723
           3     0.103903
           4     0.103859
           5     0.103874
           6     0.103925
           7     0.103925
           8      0.10404
           9     0.104044
          10     0.104108
          11     0.104049
          12     0.104075
          13     0.104036
          14     0.104156
          15     0.104036
          16     0.104123
          17     0.104189
          18      0.10425
          19     0.104295
          20     0.104262
          21     0.104161
          22      0.10418
          23     0.104191
          24     0.104202
          25     0.104272
          26      0.10434
          27     0.104322
          28      0.10434
          29     0.104423
          30     0.104419
