#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              22.2767              22.2767                    0
           2              22.8379              22.5573             0.198428
           3              21.7231              22.2793             0.262768
           4              21.2333              22.0178             0.300208
           5               22.359               22.086             0.247802
           6              24.2153              22.4409             0.384183
           7              22.7617              22.4867             0.332022
           8              22.5308              22.4922             0.290565
           9              24.4207              22.7065             0.327903
          10              23.7506              22.8109             0.311293
          11              23.2864              22.8541             0.285979
          12              22.3679              22.8136             0.265003
          13              23.1039               22.836             0.245557
          14              23.3465              22.8724              0.23071
          15              21.6282              22.7895             0.229756
          16              21.8779              22.7325             0.222348
          17              23.8529              22.7984             0.218818
          18              23.0568              22.8128             0.207131
          19               21.671              22.7527             0.204761
          20              24.0591               22.818             0.204678
          21              23.4584              22.8485              0.19719
          22              22.8061              22.8466             0.188236
          23              23.2877              22.8657             0.181027
          24              23.2485              22.8817             0.174185
          25              20.7626              22.7969             0.186707
          26              22.9106              22.8013             0.179577
          27              23.4925              22.8269             0.174741
          28              23.6316              22.8556             0.170847
          29              20.9473              22.7898             0.177176
          30              23.9283              22.8278             0.175288
