#   N_BLOCK:  ACCEPTANCE:
           1     0.260684
           2      0.26078
           3     0.260155
           4     0.260083
           5     0.260016
           6     0.260062
           7     0.259991
           8     0.260391
           9      0.26055
          10     0.260446
          11     0.260474
          12     0.260269
          13     0.260166
          14     0.260365
          15     0.260346
          16     0.260269
          17     0.260326
          18     0.260397
          19     0.260301
          20     0.260226
          21     0.260107
          22     0.259934
          23     0.260046
          24     0.260134
          25     0.260018
          26     0.259946
          27         0.26
          28     0.259958
          29     0.259974
          30     0.259975
          31      0.25996
          32     0.259913
          33     0.259883
          34     0.259866
          35     0.259897
          36     0.259941
          37     0.259931
          38       0.2599
          39     0.259931
          40     0.259963
