#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              12.1377              12.1377                    0
           2              12.1971              12.1674             0.020998
           3              12.1923              12.1757            0.0155525
           4              12.1553              12.1706            0.0124743
           5              12.1192              12.1603            0.0135761
           6              12.1059              12.1513            0.0140184
           7              12.2219              12.1614            0.0152172
           8              12.0996              12.1536            0.0151496
           9              12.2131              12.1603            0.0148393
          10               12.073              12.1515            0.0157121
          11              12.0681              12.1439            0.0160098
          12              12.1229              12.1422            0.0147716
          13              12.1493              12.1427            0.0136455
          14              12.0576              12.1367            0.0139603
          15              12.0403              12.1302            0.0144332
          16              12.1013              12.1284            0.0136437
          17              12.1966              12.1324            0.0134178
          18              12.1498              12.1334            0.0127069
          19              12.1982              12.1368             0.012488
          20              11.9994              12.1299            0.0136237
          21              12.0952              12.1283             0.013075
          22              12.0141              12.1231            0.0134718
          23              12.1879              12.1259            0.0131771
          24              12.2577              12.1314            0.0137239
          25               12.096                12.13            0.0132478
          26               12.129              12.1299            0.0127383
          27              12.1418              12.1304            0.0122741
          28              12.0864              12.1288            0.0119357
          29              12.2075              12.1315            0.0118287
          30              12.1427              12.1319            0.0114403
