#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              27.1465              27.1465                    0
           2              26.3955               26.771             0.265526
           3              28.8526              27.4649             0.593558
           4              29.5385              27.9833             0.632243
           5              25.6794              27.5225             0.652438
           6              28.4582              27.6785             0.562026
           7              26.1732              27.4634             0.521255
           8              26.7698              27.3767             0.463252
           9              24.8344              27.0942             0.490401
          10              26.0409              26.9889             0.452532
          11              26.4024              26.9356             0.414522
          12               25.708              26.8333             0.392399
          13              26.9023              26.8386             0.362251
          14              26.0943              26.7854             0.340255
          15              24.2798              26.6184             0.356223
          16              27.9578              26.7021             0.343655
          17               26.571              26.6944             0.323527
          18              28.8089              26.8119             0.326184
          19              26.5104               26.796             0.309403
          20              24.5073              26.6816             0.314384
          21              29.4709              26.8144             0.326269
          22              27.8853              26.8631             0.315049
          23              27.7211              26.9004             0.303552
          24              27.5749              26.9285             0.292202
          25              25.8814              26.8866             0.283499
          26              26.0255              26.8535             0.274523
          27              28.1433              26.9012              0.26848
          28              27.2471              26.9136             0.259175
          29              27.8932              26.9474              0.25243
          30              26.7747              26.9416             0.244081
