#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1            -0.911327            -0.911327                    0
           2            -0.911754            -0.911541          0.000151038
           3            -0.912091            -0.911724          0.000180496
           4            -0.914086            -0.912315           0.00052903
           5            -0.912692             -0.91239          0.000428569
           6            -0.910806            -0.912126          0.000430902
           7            -0.910625            -0.911912          0.000419338
           8            -0.912921            -0.912038          0.000385427
           9            -0.913326            -0.912181          0.000368236
          10            -0.914331            -0.912396           0.00038916
          11            -0.911895             -0.91235          0.000356435
          12            -0.913215            -0.912423          0.000333937
          13             -0.90929            -0.912182          0.000385488
          14             -0.91304            -0.912243          0.000362797
          15            -0.911402            -0.912187          0.000342918
          16            -0.912887            -0.912231          0.000324268
          17            -0.913577             -0.91231          0.000314714
          18            -0.913945            -0.912401          0.000310061
          19            -0.911588            -0.912358          0.000296677
          20            -0.911769            -0.912328          0.000283302
          21             -0.91182            -0.912304          0.000270844
          22             -0.91469            -0.912413          0.000279408
          23             -0.91153            -0.912374           0.00026988
          24             -0.90733            -0.912164          0.000330484
          25             -0.91204            -0.912159          0.000317302
          26             -0.91295             -0.91219          0.000306554
          27            -0.914155            -0.912262          0.000303722
          28            -0.910842            -0.912212          0.000297083
          29             -0.90971            -0.912125          0.000299105
          30            -0.910931            -0.912086          0.000291771
