#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              21.2427              21.2427                    0
           2               21.121              21.1818            0.0430131
           3              21.7108              21.3582             0.146804
           4              20.2987              21.0933             0.254431
           5              21.9496              21.2646             0.254738
           6              21.1597              21.2471              0.21288
           7              21.5241              21.2867              0.18611
           8              22.4089              21.4269             0.209138
           9              21.4853              21.4334             0.186001
          10              21.8393               21.474             0.171772
          11              21.2999              21.4582             0.156884
          12               22.075              21.5096             0.151998
          13              20.5028              21.4322             0.158814
          14              21.6339              21.4466             0.148122
          15              21.9609              21.4809             0.142161
          16               21.234              21.4654             0.134111
          17              21.6007              21.4734             0.126458
          18              21.3671              21.4675              0.11957
          19              21.4154              21.4647             0.113308
          20              21.3664              21.4598             0.107749
          21              21.4978              21.4616             0.102634
          22              22.5588              21.5115             0.109417
          23               21.552              21.5133             0.104674
          24              21.1226               21.497             0.101571
          25               22.263              21.5276             0.102025
          26              21.8609              21.5404            0.0989023
          27              21.6231              21.5435            0.0952866
          28              21.6557              21.5475            0.0919678
          29              21.9959               21.563            0.0900871
          30              20.9714              21.5433            0.0892161
