#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              11.7831              11.7831                    0
           2              11.8488               11.816            0.0232148
           3              11.7887              11.8069            0.0171625
           4              11.7639              11.7961            0.0158882
           5              11.7382              11.7845            0.0164021
           6              11.6926              11.7692            0.0195551
           7              11.8363              11.7788            0.0189634
           8              11.7496              11.7751            0.0169417
           9              11.8421              11.7826            0.0166144
          10              11.6974              11.7741             0.016999
          11              11.7239              11.7695            0.0160534
          12              11.7527              11.7681            0.0147766
          13              11.7786              11.7689            0.0136619
          14              11.6827              11.7628            0.0140047
          15              11.6614               11.756            0.0146109
          16              11.7269              11.7542            0.0138108
          17              11.8662              11.7608            0.0144859
          18               11.796              11.7627            0.0138125
          19              11.8138              11.7654            0.0133445
          20              11.5953              11.7569            0.0151471
          21               11.709              11.7546            0.0145966
          22              11.6712              11.7508            0.0144176
          23              11.8259              11.7541            0.0141554
          24              11.8558              11.7583            0.0141855
          25              11.7318              11.7573            0.0136578
          26              11.7923              11.7586            0.0131987
          27              11.7642              11.7588            0.0127115
          28              11.7541              11.7587            0.0122586
          29              11.8349              11.7613            0.0121145
          30              11.7586              11.7612             0.011711
