#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              1.74972              1.74972                    0
           2               1.8169              1.78331            0.0237517
           3              1.62974              1.73212            0.0446954
           4              1.58342              1.69495            0.0464777
           5              1.61974               1.6799            0.0395411
           6              1.77428              1.69563            0.0359436
           7              1.84758              1.71734            0.0367838
           8              1.86476              1.73577             0.036511
           9              1.61694              1.72256            0.0347596
          10               1.6527              1.71558             0.031978
          11              1.76122              1.71973            0.0293389
          12               1.5412              1.70485            0.0304331
          13               1.7883              1.71127            0.0287612
          14              1.91318              1.72569            0.0301064
          15              1.50138              1.71074            0.0315957
          16              1.69372              1.70967            0.0296389
          17              1.95404              1.72405            0.0311869
          18              1.72126              1.72389            0.0294547
          19               1.7771              1.72669            0.0280373
          20              1.74952              1.72784            0.0266586
          21              1.81082              1.73179            0.0256804
          22               1.7543              1.73281            0.0245335
          23              1.68292              1.73064            0.0235625
          24              1.73804              1.73095            0.0225827
          25               1.8905              1.73733            0.0225632
          26              1.84872              1.74162            0.0220984
          27               1.5873               1.7359            0.0220066
          28              1.94448              1.74335            0.0224461
          29              1.67124              1.74086            0.0218094
          30              1.68882              1.73913            0.0211513
