#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              1.37522              1.37522                    0
           2              1.54898               1.4621            0.0614334
           3              1.80782              1.57734              0.10262
           4               1.5126              1.56116            0.0782309
           5              1.54016              1.55696            0.0626973
           6              1.49278              1.54626            0.0531523
           7              1.40478              1.52605            0.0492522
           8              1.75144              1.55422            0.0505152
           9              1.40344              1.53747            0.0475996
          10              1.54916              1.53864             0.042854
          11              1.67902               1.5514            0.0408142
          12              1.58434              1.55415            0.0375052
          13              1.61104              1.55852            0.0348746
          14              1.56062              1.55867            0.0323839
          15              1.59662               1.5612            0.0303237
          16              1.42208              1.55251            0.0296489
          17               1.4611              1.54713            0.0283882
          18              1.49948              1.54448            0.0269342
          19              1.31562              1.53244            0.0280812
          20              1.42708              1.52717            0.0271667
          21              1.56908              1.52916            0.0259463
          22              1.49804              1.52775            0.0248054
          23              1.61298              1.53146            0.0240021
          24               1.5656              1.53288            0.0230442
          25              1.61254              1.53606            0.0223416
          26               1.6034              1.53865            0.0216319
          27              1.42196              1.53433            0.0212581
          28              1.47458               1.5322            0.0206057
          29              1.61668              1.53511            0.0201001
          30               1.4192              1.53125            0.0197979
