#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              76.6728              76.6728                    0
           2              77.4829              77.0778              0.28642
           3              76.4075              76.8544             0.264104
           4              76.7763              76.8349             0.198799
           5              76.8368              76.8352             0.159039
           6              78.0606              77.0395             0.228744
           7              76.9758              77.0304             0.196247
           8              76.4554              76.9585              0.18441
           9              77.4884              77.0174             0.173065
          10              76.6228              76.9779             0.160194
          11              76.9527              76.9756             0.145647
          12              75.3578              76.8408             0.185708
          13              76.6045              76.8226              0.17231
          14              76.6789              76.8124             0.160307
          15              75.7277              76.7401             0.165125
          16              76.5469               76.728             0.155245
          17              76.8656              76.7361             0.146324
          18               76.907              76.7456             0.138503
          19               75.903              76.7012              0.13813
          20              76.1866              76.6755             0.133599
          21               76.259              76.6557               0.1287
          22              76.0591              76.6286             0.125675
          23               76.065              76.6041             0.122576
          24               76.458               76.598              0.11762
          25              77.8801              76.6493             0.123591
          26              75.5008              76.6051             0.126484
          27              76.0502              76.5845             0.123458
          28              76.6117              76.5855             0.119053
          29              77.6215              76.6212             0.120188
          30              77.1561              76.6391             0.117496
