#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1               8.7258               8.7258                    0
           2                7.196               7.9609             0.540866
           3               9.6053              8.50903             0.574731
           4               7.5264              8.26337             0.480691
           5               8.5169              8.31408             0.387218
           6               7.5508              8.18687             0.342942
           7               8.4573               8.2255             0.296119
           8               8.7467              8.29065             0.266174
           9               9.1333              8.38428              0.25253
          10               8.1177              8.35762              0.22868
          11               6.9558              8.23018             0.240796
          12               6.4894              8.08512             0.260791
          13               7.6624               8.0526             0.242748
          14               7.0109              7.97819             0.236538
          15               6.9577              7.91016             0.230345
          16               8.7403              7.96204             0.221715
          17                6.682              7.88675             0.221089
          18               8.8146              7.93829             0.214731
          19               10.139              8.05412              0.23258
          20               8.7081              8.08682             0.223238
          21               6.9435              8.03238             0.219146
          22               8.7468              8.06485             0.211577
          23               7.5323               8.0417             0.203641
          24               7.3996              8.01494             0.196905
          25               7.4386              7.99189             0.190374
          26               6.7946              7.94584             0.188539
          27               8.9796              7.98413             0.185403
          28               7.7702              7.97649             0.178939
          29               6.8195              7.93659              0.17716
          30               6.2992              7.88201             0.179466
          31               7.4899              7.86936             0.174122
          32               6.7747              7.83515             0.172008
          33               7.4152              7.82243             0.167266
          34               8.4944              7.84219             0.163509
          35              10.9729              7.93164             0.181664
          36               8.3668              7.94373              0.17702
          37               7.3124              7.92666             0.173056
          38               8.7345              7.94792             0.169802
          39               8.9643              7.97398             0.167437
          40               8.3452              7.98327             0.163508
