#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1            -0.773308            -0.773308                    0
           2            -0.769852             -0.77158           0.00122188
           3            -0.773988            -0.772383            0.0010455
           4             -0.77376            -0.772727          0.000838913
           5            -0.772844             -0.77275          0.000671457
           6            -0.772408            -0.772693          0.000561967
           7            -0.773808            -0.772853          0.000503742
           8            -0.772488            -0.772807          0.000442831
           9            -0.770796            -0.772584          0.000446455
          10            -0.771988            -0.772524          0.000405762
          11            -0.773632            -0.772625          0.000381172
          12            -0.774356            -0.772769          0.000375721
          13            -0.772596            -0.772756          0.000347055
          14             -0.77464             -0.77289          0.000347385
          15             -0.77254            -0.772867           0.00032501
          16            -0.773132            -0.772884          0.000305119
          17            -0.772388            -0.772854          0.000288559
          18              -0.7724            -0.772829           0.00027363
          19            -0.775372            -0.772963          0.000290119
          20            -0.770444            -0.772837          0.000301715
          21             -0.77348            -0.772868          0.000288897
          22            -0.774132            -0.772925          0.000281424
          23            -0.770216            -0.772807          0.000292801
          24            -0.769592            -0.772673          0.000309738
          25            -0.775324            -0.772779          0.000314973
          26            -0.774052            -0.772828          0.000306638
          27            -0.773812            -0.772865          0.000297438
          28            -0.772052            -0.772836          0.000288228
          29            -0.771944            -0.772805          0.000279924
          30             -0.77292            -0.772809           0.00027062
          31             -0.77608            -0.772914          0.000281713
          32            -0.774452            -0.772962          0.000276978
          33            -0.772324            -0.772943          0.000269259
          34             -0.77104            -0.772887          0.000267094
          35            -0.772356            -0.772872          0.000259893
          36            -0.773736            -0.772896           0.00025378
          37            -0.773204            -0.772904          0.000247058
          38            -0.775596            -0.772975          0.000250505
          39            -0.772156            -0.772954          0.000244961
          40            -0.772172            -0.772935          0.000239616
