#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              401.206              401.206                    0
           2              366.318              383.762              12.3349
           3              411.887              393.137              11.2345
           4              370.741              387.538              9.72146
           5              390.444              388.119              7.79453
           6              386.358              387.826              6.50097
           7              405.663              390.374              6.05109
           8              424.168              394.598              6.60661
           9              387.466              393.806              5.91988
          10              376.655               392.09               5.5708
          11              416.299              394.291              5.48186
          12               395.35              394.379              5.02575
          13              361.178              391.826              5.24811
          14              411.112              393.203              5.05082
          15              381.623              392.431              4.77273
          16              404.624              393.193              4.53487
          17               414.07              394.421              4.43128
          18              392.084              394.291                4.187
          19              417.716              395.524              4.14417
          20              349.044                393.2              4.54209
          21              399.439              393.497              4.33551
          22              383.504              393.043              4.16216
          23              396.609              393.198              3.98409
          24              387.735              392.971              3.82458
          25              406.175              393.499              3.70789
          26              434.372              395.071              3.88426
          27              417.255              395.892              3.82631
          28                393.6              395.811              3.69053
          29              361.396              394.624              3.74922
          30              424.707              395.627              3.75595
          31              435.004              396.897              3.84359
          32              426.381              397.818              3.83232
          33              384.197              397.406              3.73835
          34              413.857              397.889              3.65958
          35              401.928              398.005              3.55684
          36              408.319              398.291              3.46956
          37              398.236               398.29              3.37579
          38              402.045              398.389               3.2884
          39              380.837              397.939              3.23473
          40              421.798              398.535              3.20838
