#   N_BLOCK:  ACCEPTANCE:
           1     0.269906
           2     0.269784
           3     0.269778
           4     0.269822
           5     0.269786
           6     0.269871
           7     0.269966
           8      0.26996
           9     0.269945
          10     0.270015
          11     0.269994
          12     0.270009
          13      0.27001
          14      0.27006
          15      0.27005
          16     0.269991
          17     0.269982
          18     0.269964
          19      0.27001
          20     0.270026
          21     0.269975
          22     0.270005
          23     0.269957
          24     0.269917
          25     0.269925
          26      0.26994
          27     0.269933
          28     0.270021
          29     0.270009
          30     0.269986
