#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              6.02734              6.02734                    0
           2              5.77336              5.90035            0.0897955
           3              5.63636              5.81235            0.0935197
           4              5.86576               5.8257            0.0710865
           5              6.08778              5.87812            0.0737019
           6              6.21936              5.93499            0.0804219
           7              6.05416              5.95202            0.0707119
           8              5.50022              5.89554            0.0813571
           9              6.23434              5.93319             0.080557
          10              6.01542              5.94141            0.0729198
          11              6.32182              5.97599            0.0740385
          12               5.6777              5.95114            0.0719206
          13              5.65696              5.92851            0.0698575
          14              6.39804              5.96204            0.0724726
          15              5.67842              5.94314            0.0700643
          16              6.04998              5.94981            0.0660027
          17              5.48028              5.92219            0.0676527
          18              6.26586              5.94129            0.0665338
          19               5.7733              5.93245            0.0636168
          20              5.78838              5.92524            0.0608424
          21               5.7483              5.91682            0.0585257
          22              5.39114              5.89292            0.0605469
          23              5.66642              5.88307            0.0587099
          24              5.70506              5.87566            0.0567302
          25              5.70398              5.86879            0.0548751
          26              6.36448              5.88785            0.0559784
          27               6.1384              5.89713            0.0546689
          28              6.21004              5.90831            0.0538465
          29              6.56436              5.93093            0.0565425
          30              6.07686               5.9358            0.0548666
